grade,program,subject,lessons_per_week,optional,group_count,shared_group_key,share_mode
12,Humanitārās zinātnes un kultūra,Vācu valoda akadēmiskiem nolūkiem,2,True,1,GERMANAK_12,fixed_pair_partition
12,Humanitārās zinātnes un kultūra,Ģeogrāfija II,6,True,1,GEO_12,fixed_pair_partition
12,"Matemātika, dabaszinātnes un tehnoloģijas",Ekonomika,2,True,1,ECON_12,fixed_pair_partition
12,"Matemātika, dabaszinātnes un tehnoloģijas",Fizika II,7,False,1,PHYS_12,fixed_pair_partition
12,"Matemātika, dabaszinātnes un tehnoloģijas",Latviešu valoda un literatūra I,4,False,1,LAT_12,fixed_pair_partition
12,"Matemātika, dabaszinātnes un tehnoloģijas",Matemātika II,7,False,1,MATH_12,fixed_pair_partition
12,"Matemātika, dabaszinātnes un tehnoloģijas",Programmēšana II,5,False,1,,none
12,"Matemātika, dabaszinātnes un tehnoloģijas",Sports un veselība (praktiskā),2,False,1,SPORT_12_ALL,forced_parallel_groups
12,"Matemātika, dabaszinātnes un tehnoloģijas",Sports un veselība (teorija),1,False,1,SPORTT_12,fixed_pair_partition
12,"Matemātika, dabaszinātnes un tehnoloģijas",Svešvaloda (angļu) I B2,3,False,1,ENG_12,fixed_pair_partition
12,"Matemātika, dabaszinātnes un tehnoloģijas","Svešvaloda (otrā, vācu) I B1",3,False,4,GERMAN_12_ALL,forced_parallel_groups
12,"Matemātika, dabaszinātnes un tehnoloģijas",Vācu valoda akadēmiskiem nolūkiem,2,True,1,GERMANAK_12,fixed_pair_partition
12,Uzņēmējdarbības pamati,Ekonomika,2,False,1,ECON_12,fixed_pair_partition
12,Uzņēmējdarbības pamati,Latviešu valoda un literatūra I,4,False,1,LAT_12,fixed_pair_partition
12,Uzņēmējdarbības pamati,Matemātika II,7,False,1,MATH_12,fixed_pair_partition
12,Uzņēmējdarbības pamati,Sports un veselība (praktiskā),2,False,1,SPORT_12_ALL,forced_parallel_groups
12,Uzņēmējdarbības pamati,Sports un veselība (teorija),1,False,1,SPORTT_12,fixed_pair_partition
12,Uzņēmējdarbības pamati,Svešvaloda (angļu) I B2,3,False,1,ENG_12,fixed_pair_partition
12,Uzņēmējdarbības pamati,Svešvaloda (angļu) II C1,6,False,1,ENG2_12,fixed_pair_partition
12,Uzņēmējdarbības pamati,"Svešvaloda (otrā, vācu) II B2",4,True,1,GERMAN2_12,fixed_pair_partition
12,Uzņēmējdarbības pamati,Svešvaloda (vācu) I B1,3,False,4,GERMAN_12_ALL,forced_parallel_groups
12,Uzņēmējdarbības pamati,Vācu valoda akadēmiskiem nolūkiem,2,True,1,GERMANAK_12,fixed_pair_partition
12,Uzņēmējdarbības pamati,Ģeogrāfija II,6,True,1,GEO_12,fixed_pair_partition
